IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.45.121,4,4,0.00,53.55,0.00,N/A
162.159.39.70,4,4,0.00,54.86,0.00,N/A
162.159.44.141,4,4,0.00,60.58,0.00,N/A
108.162.198.25,4,4,0.00,67.62,0.00,N/A
162.159.38.135,4,4,0.00,72.24,0.00,N/A
172.64.229.61,4,4,0.00,84.89,0.00,N/A
104.16.202.25,4,4,0.00,154.58,0.00,N/A
172.65.230.83,4,4,0.00,154.93,0.00,N/A
172.66.46.66,4,4,0.00,155.51,0.00,N/A
104.16.238.141,4,4,0.00,155.73,0.00,N/A
172.64.97.24,4,4,0.00,156.26,0.00,N/A
104.17.62.144,4,4,0.00,156.80,0.00,N/A
172.65.225.231,4,4,0.00,157.07,0.00,N/A
104.17.33.54,4,4,0.00,157.27,0.00,N/A
104.17.82.81,4,4,0.00,157.54,0.00,N/A
172.66.3.205,4,4,0.00,158.72,0.00,N/A
104.16.6.90,4,4,0.00,159.01,0.00,N/A
173.245.49.214,4,4,0.00,159.24,0.00,N/A
104.16.201.136,4,4,0.00,159.28,0.00,N/A
172.64.230.200,4,4,0.00,159.32,0.00,N/A
104.17.74.130,4,4,0.00,159.38,0.00,N/A
104.16.95.80,4,4,0.00,159.77,0.00,N/A
198.41.203.232,4,4,0.00,160.18,0.00,N/A
104.16.51.20,4,4,0.00,160.22,0.00,N/A
104.16.181.116,4,4,0.00,160.37,0.00,N/A
104.16.0.195,4,4,0.00,160.61,0.00,N/A
104.16.189.1,4,4,0.00,160.89,0.00,N/A
172.65.199.166,4,4,0.00,160.92,0.00,N/A
172.65.227.72,4,4,0.00,161.62,0.00,N/A
104.16.32.129,4,4,0.00,161.66,0.00,N/A
172.64.89.100,4,4,0.00,162.17,0.00,N/A
172.64.176.210,4,4,0.00,162.69,0.00,N/A
172.65.207.253,4,4,0.00,162.86,0.00,N/A
104.16.29.129,4,4,0.00,162.91,0.00,N/A
172.65.254.173,4,4,0.00,162.97,0.00,N/A
104.17.77.197,4,4,0.00,163.18,0.00,N/A
162.159.237.127,4,4,0.00,163.43,0.00,N/A
104.16.182.205,4,4,0.00,163.45,0.00,N/A
104.16.52.31,4,4,0.00,163.54,0.00,N/A
104.21.234.80,4,4,0.00,163.64,0.00,N/A
104.16.83.193,4,4,0.00,163.80,0.00,N/A
104.16.23.247,4,4,0.00,163.84,0.00,N/A
162.159.255.88,4,4,0.00,163.92,0.00,N/A
104.16.138.9,4,4,0.00,163.98,0.00,N/A
104.17.69.220,4,4,0.00,164.02,0.00,N/A
104.16.108.2,4,4,0.00,164.10,0.00,N/A
190.93.245.200,4,4,0.00,164.13,0.00,N/A
104.16.82.75,4,4,0.00,164.15,0.00,N/A
104.16.237.124,4,4,0.00,164.23,0.00,N/A
198.41.216.16,4,4,0.00,164.33,0.00,N/A
104.16.107.113,4,4,0.00,164.48,0.00,N/A
104.17.80.116,4,4,0.00,164.57,0.00,N/A
198.41.200.235,4,4,0.00,164.61,0.00,N/A
104.17.65.112,4,4,0.00,164.73,0.00,N/A
104.16.26.242,4,4,0.00,164.94,0.00,N/A
172.64.81.153,4,4,0.00,165.06,0.00,N/A
104.16.27.253,4,4,0.00,165.48,0.00,N/A
172.65.192.179,4,4,0.00,165.52,0.00,N/A
104.16.241.92,4,4,0.00,165.54,0.00,N/A
198.41.197.143,4,4,0.00,165.55,0.00,N/A
104.17.12.127,4,4,0.00,165.82,0.00,N/A
104.16.103.122,4,4,0.00,165.89,0.00,N/A
104.17.21.163,4,4,0.00,166.14,0.00,N/A
104.17.42.49,4,4,0.00,166.16,0.00,N/A
104.16.231.93,4,4,0.00,166.21,0.00,N/A
104.16.204.181,4,4,0.00,166.22,0.00,N/A
104.16.232.153,4,4,0.00,166.56,0.00,N/A
104.21.233.82,4,4,0.00,166.64,0.00,N/A
