IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
198.41.223.130,4,4,0.00,95.66,89.86,SIN,443
172.64.33.96,4,4,0.00,86.90,86.15,SIN,443
162.159.36.48,4,4,0.00,88.95,85.96,SIN,443
162.159.26.41,4,4,0.00,88.87,85.28,SIN,443
173.245.59.23,4,4,0.00,90.47,84.92,SIN,443
172.64.158.156,4,4,0.00,87.40,84.90,SIN,443
162.159.6.61,4,4,0.00,104.56,84.67,SIN,443
172.64.38.125,4,4,0.00,88.42,83.75,SIN,443
162.159.12.58,4,4,0.00,96.00,79.88,SIN,443
162.159.39.213,4,4,0.00,58.19,78.87,NRT,443
172.64.34.170,4,4,0.00,86.66,78.79,SIN,443
108.162.195.165,4,4,0.00,86.08,78.03,SIN,443
162.159.38.180,4,4,0.00,56.77,77.79,NRT,443
162.159.48.121,4,4,0.00,90.91,77.08,SIN,443
162.159.22.155,4,4,0.00,110.69,75.37,SIN,443
108.162.196.85,4,4,0.00,90.99,74.84,SIN,443
162.159.60.13,4,4,0.00,86.18,73.96,SIN,443
172.64.147.56,4,4,0.00,92.81,72.11,SIN,443
162.159.58.194,4,4,0.00,86.55,70.68,SIN,443
162.159.0.184,4,4,0.00,103.84,69.27,SIN,443
162.159.13.218,4,4,0.00,101.30,68.64,SIN,443
162.159.27.95,4,4,0.00,89.01,67.37,SIN,443
162.159.20.173,4,4,0.00,106.59,57.04,SIN,443
162.159.62.128,4,4,0.00,97.45,56.48,SIN,443
162.159.11.83,4,4,0.00,110.48,55.76,SIN,443
172.64.150.124,4,4,0.00,93.88,55.19,SIN,443
162.159.49.224,4,4,0.00,90.80,54.26,SIN,443
172.64.42.189,4,4,0.00,88.80,53.31,SIN,443
162.159.4.48,4,4,0.00,102.51,52.94,SIN,443
198.41.211.65,4,4,0.00,91.77,52.81,SIN,443
162.159.33.9,4,4,0.00,84.85,52.67,SIN,443
162.159.45.0,4,4,0.00,63.39,51.12,NRT,443
162.159.9.137,4,4,0.00,97.70,50.28,SIN,443
172.64.157.105,4,4,0.00,89.21,49.58,SIN,443
162.159.42.207,4,4,0.00,89.15,48.55,SIN,443
172.64.53.201,4,4,0.00,86.29,46.41,SIN,443
108.162.193.185,4,4,0.00,105.60,45.14,SIN,443
162.159.18.253,4,4,0.00,113.52,45.10,SIN,443
162.159.8.231,4,4,0.00,110.78,45.04,SIN,443
162.159.10.216,4,4,0.00,106.40,44.36,SIN,443
172.64.146.34,4,4,0.00,88.20,43.59,SIN,443
162.159.35.165,4,4,0.00,89.10,43.51,SIN,443
162.159.25.174,4,4,0.00,92.17,43.51,SIN,443
162.159.43.170,4,4,0.00,90.45,43.30,SIN,443
162.159.15.61,4,4,0.00,107.81,42.85,SIN,443
