IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
162.159.27.253,4,4,0.00,88.58,90.99,SIN,443
172.64.50.104,4,4,0.00,86.14,89.66,SIN,443
172.64.149.139,4,4,0.00,90.85,87.70,SIN,443
162.159.6.214,4,4,0.00,110.05,86.83,SIN,443
172.64.148.17,4,4,0.00,87.00,85.47,SIN,443
162.159.33.112,4,4,0.00,94.85,85.06,SIN,443
172.64.147.93,4,4,0.00,89.87,84.90,SIN,443
104.18.43.81,4,4,0.00,174.96,84.89,SIN,443
172.64.40.25,4,4,0.00,87.13,83.98,SIN,443
162.159.25.8,4,4,0.00,92.32,83.17,SIN,443
172.64.155.74,4,4,0.00,94.05,82.97,SIN,443
104.18.40.52,4,4,0.00,170.34,80.80,SIN,443
162.159.16.76,4,4,0.00,105.01,73.49,SIN,443
162.159.58.179,4,4,0.00,83.68,71.01,SIN,443
162.159.40.33,4,4,0.00,88.68,68.28,SIN,443
104.16.209.56,4,4,0.00,187.37,66.86,SJC,443
162.159.48.148,4,4,0.00,91.92,66.76,SIN,443
108.162.193.22,4,4,0.00,96.96,64.70,SIN,443
162.159.2.110,4,4,0.00,97.44,58.65,SIN,443
162.159.44.158,4,4,0.00,67.06,58.28,NRT,443
108.162.198.213,4,4,0.00,69.26,58.04,NRT,443
198.41.211.80,4,4,0.00,88.49,56.57,SIN,443
173.245.58.161,4,4,0.00,93.26,55.82,SIN,443
172.64.154.96,4,4,0.00,89.15,54.75,SIN,443
162.159.0.227,4,4,0.00,96.07,53.96,SIN,443
162.159.17.222,4,4,0.00,107.61,53.46,SIN,443
104.16.115.41,4,4,0.00,171.28,52.85,LAX,443
104.17.189.240,4,4,0.00,171.14,52.64,SJC,443
104.18.37.228,4,4,0.00,197.45,52.51,SIN,443
172.64.152.116,4,4,0.00,95.32,52.00,SIN,443
108.162.195.30,4,4,0.00,107.94,51.98,SIN,443
108.162.194.59,4,4,0.00,101.64,51.03,SIN,443
162.159.20.222,4,4,0.00,107.79,50.42,SIN,443
162.159.23.118,4,4,0.00,109.18,50.22,SIN,443
162.159.41.51,4,4,0.00,87.80,50.01,SIN,443
104.18.42.107,4,4,0.00,209.88,49.99,SIN,443
173.245.59.36,4,4,0.00,93.05,48.98,SIN,443
190.93.245.131,4,4,0.00,161.88,48.16,SJC,443
162.159.46.136,4,4,0.00,86.21,47.12,SIN,443
162.159.35.142,4,4,0.00,83.61,46.99,SIN,443
198.41.222.45,4,4,0.00,92.67,46.93,SIN,443
162.159.18.199,4,4,0.00,99.91,46.68,SIN,443
104.17.73.81,4,4,0.00,171.64,46.66,SJC,443
108.162.196.174,4,4,0.00,100.77,46.51,SIN,443
172.64.52.186,4,4,0.00,88.97,45.90,SIN,443
172.64.144.187,4,4,0.00,91.03,45.88,SIN,443
172.64.41.247,4,4,0.00,83.64,45.69,SIN,443
162.159.7.55,4,4,0.00,98.99,45.35,SIN,443
162.159.21.173,4,4,0.00,111.93,45.05,SIN,443
108.162.192.211,4,4,0.00,98.93,44.84,SIN,443
172.64.157.42,4,4,0.00,91.38,44.66,SIN,443
162.159.19.97,4,4,0.00,101.98,44.36,SIN,443
198.41.209.23,4,4,0.00,185.53,44.20,SJC,443
162.159.26.219,4,4,0.00,89.44,44.08,SIN,443
162.159.24.91,4,4,0.00,87.51,43.81,SIN,443
104.18.45.230,4,4,0.00,188.67,43.75,SIN,443
172.64.145.241,4,4,0.00,87.90,43.68,SIN,443
172.64.49.60,4,4,0.00,83.47,43.35,SIN,443
162.159.9.84,4,4,0.00,105.31,43.31,SIN,443
162.159.1.169,4,4,0.00,101.11,43.13,SIN,443
162.159.5.240,4,4,0.00,103.61,42.92,SIN,443
162.159.34.174,4,4,0.00,86.23,42.87,SIN,443
162.159.43.247,4,4,0.00,89.29,42.81,SIN,443
104.18.47.141,4,4,0.00,203.08,42.39,SIN,443
104.16.53.136,4,4,0.00,171.26,42.37,SJC,443
104.27.198.49,4,4,0.00,182.44,42.10,FRA,443
172.64.146.187,4,4,0.00,94.18,42.06,SIN,443
